GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Palladio Headless Builder,de.fakeller.palladio.builder.system,AssemblyBuilder,0,12,0,0,0,2,0,2,0,2
Palladio Headless Builder,de.fakeller.palladio.builder,EntityBuilder,7,0,0,0,2,0,1,0,1,0
Palladio Headless Builder,de.fakeller.palladio.builder,BuilderException,26,61,1,3,7,12,5,3,4,2
Palladio Headless Builder,de.fakeller.palladio.builder,AbstractHierarchicalBuilder,0,18,0,0,0,7,0,3,0,3
Palladio Headless Builder,de.fakeller.palladio.builder,BaseBuilder,3,0,0,0,1,0,1,0,1,0
Palladio Headless Builder,de.fakeller.palladio.builder,PcmBuilder,112,0,0,0,21,0,7,0,7,0
Palladio Headless Builder,de.fakeller.palladio.builder,NamedBuilder,0,12,0,0,0,3,0,2,0,2
Palladio Headless Builder,de.fakeller.palladio.builder.repository.impl,RepositoryBuilderImpl,5,64,0,0,1,14,1,4,1,4
Palladio Headless Builder,de.fakeller.palladio.builder.repository.impl,ComponentBuilderImpl,0,105,0,0,0,18,0,6,0,6
Palladio Headless Builder,de.fakeller.palladio.builder.repository.impl,SignatureBuilderImpl,42,56,6,1,13,16,7,5,1,5
Palladio Headless Builder,de.fakeller.palladio.builder.repository.impl,InterfaceBuilderImpl,10,45,0,0,2,10,1,4,1,4
Palladio Headless Builder,de.fakeller.palladio.builder.repository.impl,SignatureBuilderImpl.new Object() {...},6,41,0,0,0,1,0,1,0,1
Palladio Headless Builder,de.fakeller.palladio.builder.repository.failure.impl,SoftwareInducedFailureBuilderImpl,27,0,0,0,6,0,3,0,3,0
Palladio Headless Builder,de.fakeller.palladio.builder.util,RandomVariableFactory,20,8,0,0,3,3,3,1,3,1
Palladio Headless Builder,de.fakeller.palladio.builder.repository.seff,ResourceDemandBuilder,19,5,0,0,3,1,3,1,3,1
Palladio Headless Builder,de.fakeller.palladio.builder.resourceenvironment,ProcessingResourceBuilder.SchedulingPolicy,48,0,0,0,4,0,4,0,4,0
Palladio Headless Builder,de.fakeller.palladio.builder.system.impl,AssemblyBuilderImpl,2,308,2,10,2,63,2,14,0,10
Palladio Headless Builder,de.fakeller.palladio.builder.system.impl,SystemBuilderImpl,0,25,0,0,0,7,0,3,0,3
Palladio Headless Builder,de.fakeller.palladio.builder.repository,ParameterType,5,73,0,0,0,7,1,3,1,3
Palladio Headless Builder,de.fakeller.palladio.builder.util.impl,VariableUsageFactoryImpl,35,0,0,0,11,0,2,0,2,0
Palladio Headless Builder,de.fakeller.palladio.builder.resourceenvironment.impl,ProcessingResourceBuilderImpl.new Object() {...},26,0,0,0,1,0,1,0,1,0
Palladio Headless Builder,de.fakeller.palladio.builder.resourceenvironment.impl,ContainerBuilderImpl,102,0,2,0,19,0,9,0,8,0
Palladio Headless Builder,de.fakeller.palladio.builder.resourceenvironment.impl,ResourceEnvironmentBuilderImpl,33,0,0,0,7,0,4,0,4,0
Palladio Headless Builder,de.fakeller.palladio.builder.resourceenvironment.impl,ProcessingResourceBuilderImpl,95,0,4,0,27,0,12,0,9,0
Palladio Headless Builder,de.fakeller.palladio.builder.resourceenvironment.impl,LinkBuilderImpl,102,0,2,0,22,0,8,0,7,0
Palladio Headless Builder,de.fakeller.palladio.builder.usage.impl,ScenarioBuilderImpl,64,0,2,0,15,0,6,0,5,0
Palladio Headless Builder,de.fakeller.palladio.builder.usage.impl,BehaviourBuilderImpl,99,0,4,0,24,0,10,0,8,0
Palladio Headless Builder,de.fakeller.palladio.builder.usage.impl,UsageBuilderImpl,23,0,0,0,6,0,3,0,3,0
Palladio Headless Builder,de.fakeller.palladio.builder.usage.impl,EntryLevelSystemCallBuilderImpl,129,0,8,0,30,0,12,0,8,0
Palladio Headless Builder,de.fakeller.palladio.builder.allocation.impl,AllocationBuilderImpl,47,0,0,0,12,0,3,0,3,0
Palladio Headless Builder,de.fakeller.palladio.builder.usage,BehaviourBuilder,7,0,0,0,1,0,1,0,1,0
Palladio Headless Builder,de.fakeller.palladio.builder.repository.seff.impl,ExternalCallBuilderImpl,53,93,7,9,10,26,9,6,2,5
Palladio Headless Builder,de.fakeller.palladio.builder.repository.seff.impl,ResourceDemandBuilderImpl,0,165,0,6,0,41,0,15,0,12
Palladio Headless Builder,de.fakeller.palladio.builder.repository.seff.impl,BranchBuilderImpl,0,51,0,0,0,15,0,4,0,4
Palladio Headless Builder,de.fakeller.palladio.builder.repository.seff.impl,InternalActionBuilderImpl,33,59,0,0,8,15,2,6,2,6
