GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fastpan,de.fakeller.performance.analysis.result.exception,InvalidResultException,16,0,0,0,8,0,4,0,4,0
fastpan,de.fakeller.performance.analysis,AnalysisCapability,38,0,0,0,3,0,4,0,4,0
fastpan,de.fakeller.performance.analysis.result.metric.aggregate,MinMetric,0,15,0,0,0,3,0,2,0,2
fastpan,de.fakeller.performance.analysis.result.metric.aggregate,MedianMetric,0,15,0,0,0,3,0,2,0,2
fastpan,de.fakeller.performance.analysis.result.metric.aggregate,SumMetric,0,15,0,0,0,3,0,2,0,2
fastpan,de.fakeller.performance.analysis.result.metric.aggregate,MeanMetric,0,15,0,0,0,3,0,2,0,2
fastpan,de.fakeller.performance.analysis.result.metric.aggregate,MaxMetric,0,15,0,0,0,3,0,2,0,2
fastpan,de.fakeller.performance.analysis.result.metric.aggregate,AbstractAggregateMetric,8,30,3,3,1,8,4,3,1,3
fastpan,de.fakeller.performance.analysis.result.metric.probabilistic,NormalDistributionMetric,4,89,3,5,0,17,3,8,0,7
fastpan,de.fakeller.performance.analysis.result.quantity.time,BusyTime,8,5,0,0,2,2,2,1,2,1
fastpan,de.fakeller.performance.analysis.result.quantity.time,IdleTime,8,5,0,0,2,2,2,1,2,1
fastpan,de.fakeller.performance.analysis.result.quantity.time,AbstractTimeQuantity,5,5,0,0,1,2,1,1,1,1
fastpan,de.fakeller.performance.analysis.result.quantity,PerformanceQuantity,6,0,0,0,1,0,1,0,1,0
fastpan,de.fakeller.performance.analysis.result.quantity,ServiceTime,22,18,5,1,3,5,5,4,2,4
fastpan,de.fakeller.performance.analysis.result.quantity,Utilization,22,18,5,1,3,5,5,4,2,4
fastpan,de.fakeller.performance.analysis.result.quantity,RelativeThroughput,11,12,0,0,2,4,2,3,2,3
fastpan,de.fakeller.performance.analysis.result.quantity,AbstractPerformanceQuantity,0,27,0,0,0,5,0,3,0,3
fastpan,de.fakeller.performance.analysis.result.valueobject.statistics,StandardDeviation,0,21,0,0,0,4,0,3,0,3
fastpan,de.fakeller.performance.analysis.result.valueobject.statistics,Variance,0,21,0,0,0,4,0,3,0,3
fastpan,de.fakeller.performance.variability.analysis,BaseAnalyzer,0,18,0,0,0,5,0,3,0,3
fastpan,de.fakeller.performance.variability.analysis,BaseContext,0,45,0,0,0,13,0,4,0,4
fastpan,de.fakeller.performance.variability.feature,BaseFeatureModel,0,61,1,3,0,9,1,5,0,4
fastpan,de.fakeller.performance.variability.feature,UnknownFeatureException,0,4,0,0,0,2,0,1,0,1
fastpan,de.fakeller.performance.variability.configuration,ModifiableConfiguration,0,10,0,0,0,2,0,2,0,2
fastpan,de.fakeller.performance.variability.configuration,BaseConfiguration,0,110,0,2,0,23,0,13,0,12
fastpan,de.fakeller.performance.analysis.result.unit,TimeUnit,9,89,0,0,0,9,2,2,2,2
fastpan,de.fakeller.performance.analysis.result.unit,Unitless,9,19,0,0,0,2,2,2,2,2
fastpan,de.fakeller.performance.analysis.result.unit,ThroughputUnit,9,129,0,0,0,13,2,2,2,2
fastpan,de.fakeller.performance.analysis.result.trace,DefaultTraceMapper,0,71,0,6,0,15,0,6,0,3
fastpan,de.fakeller.performance.analysis.result.metric,AbstractPerformanceMetric,0,11,0,0,0,4,0,2,0,2
fastpan,de.fakeller.performance.analysis.result.metric,DirectMetric,4,38,3,3,0,10,3,5,0,5
fastpan,de.fakeller.performance.analysis.result.valueobject,NormalPercentage,0,30,0,4,0,5,0,4,0,2
fastpan,de.fakeller.performance.analysis.result.valueobject,Percentage,0,29,0,0,0,5,0,4,0,4
fastpan,de.fakeller.performance.analysis.result.valueobject,Duration,0,87,0,0,0,17,0,16,0,16
fastpan,de.fakeller.performance.analysis.result.valueobject,AbstractValueObject,8,42,5,7,0,10,5,5,0,4
fastpan,de.fakeller.performance.analysis.result,Attach.MetricBuilder,6,100,3,3,0,13,3,11,0,11
fastpan,de.fakeller.performance.analysis.result,Attach.QuantityBuilder,0,82,0,0,0,12,0,6,0,6
fastpan,de.fakeller.performance.analysis.result,AttachedResult,46,56,9,9,4,14,11,5,2,5
fastpan,de.fakeller.performance.analysis.result,AbstractPerformanceResult,14,140,8,20,0,28,8,17,0,11
fastpan,de.fakeller.performance.analysis.result,Attach,6,29,3,3,0,6,3,3,0,3
